"","doc_id","sentence","token","upos","Entity","friends_count","country","NewsChannel"
"32309","doc429","entertain educate inform community community","community","NOUN","Profession",338,NA,"FOX"
"32316","doc4291","twitter real name kimberly however family friends call kiki hamster lover life","twitter","ADV","Organization",451,NA,"FOX"
"32330","doc4292","texas tech university ufb bcmcpeek houston tx ufuffcavid gamer twitch watcher ufae","university","NOUN","Profession",299,NA,"FOX"
"32347","doc4294","former research engineer now data scientist fan creative destruction cooperation","research","NOUN","Profession",370,NA,"FOX"
"32348","doc4294","former research engineer now data scientist fan creative destruction cooperation","engineer","NOUN","Profession",370,NA,"FOX"
"32350","doc4294","former research engineer now data scientist fan creative destruction cooperation","data","NOUN","Profession",370,NA,"FOX"
"32351","doc4294","former research engineer now data scientist fan creative destruction cooperation","scientist","NOUN","Profession",370,NA,"FOX"
"32353","doc4294","former research engineer now data scientist fan creative destruction cooperation","creative","ADJ","Personality",370,NA,"FOX"
"32370","doc4295","im big fan jacob two two im youtuberufe like cartoons watch qubo lot really mean","mean","VERB","Personality",646,NA,"FOX"
"32372","doc4296","lover jesus christ lover things beautiful rn bsn cen","jesus","NOUN","Religion",833,NA,"FOX"
"32373","doc4296","lover jesus christ lover things beautiful rn bsn cen","christ","NOUN","Religion",833,NA,"FOX"
"32395","doc4298","like cricket enjoy playing cricket full joy like make friends","cricket","NOUN","Hobbies",278,NA,"FOX"
"32398","doc4298","like cricket enjoy playing cricket full joy like make friends","cricket","NOUN","Hobbies",278,NA,"FOX"
"32408","doc43","international best selling author speaker cocreator access consciousness inspiring world total allowance caring humor deep inner knowing","author","NOUN","Profession",1992,NA,"FOX"
"32415","doc43","international best selling author speaker cocreator access consciousness inspiring world total allowance caring humor deep inner knowing","total","ADJ","Organization",1992,NA,"FOX"
"32418","doc43","international best selling author speaker cocreator access consciousness inspiring world total allowance caring humor deep inner knowing","humor","NOUN","Personality",1992,NA,"FOX"
"32449","doc4302","born blood bought believer begotten son god jesus christ bible believing lover righteousness gutter uttermost maranatha","jesus","NOUN","Religion",293,NA,"FOX"
"32450","doc4302","born blood bought believer begotten son god jesus christ bible believing lover righteousness gutter uttermost maranatha","christ","NOUN","Religion",293,NA,"FOX"
"32501","doc4308","cool essay goingufbufd clearing forwarding agent work","agent","NOUN","Profession",683,NA,"FOX"
"32532","doc4311","hi im laidback individual definitely loyal ever life brings","loyal","ADJ","Personality",394,NA,"FOX"
"32538","doc4312","full time police officer tx time go across country seeing children cancer illnesses time superhero","police","NOUN","Profession",478,"Etats-Unis","FOX"
"32539","doc4312","full time police officer tx time go across country seeing children cancer illnesses time superhero","officer","NOUN","Profession",478,"Etats-Unis","FOX"
"32572","doc4314","lots opinions mainly canadian american politics different perspectives rational debate always welcome follow u endorsement","politics","NOUN","Hobbies",989,NA,"FOX"
"32575","doc4314","lots opinions mainly canadian american politics different perspectives rational debate always welcome follow u endorsement","rational","ADJ","Personality",989,NA,"FOX"
"32582","doc4315","jesus christ saved redeemed child king","jesus","ADJ","Religion",631,NA,"FOX"
"32583","doc4315","jesus christ saved redeemed child king","christ","NOUN","Religion",631,NA,"FOX"
"32589","doc4316","former teacher store clerk","teacher","NOUN","Profession",428,NA,"FOX"
"32591","doc4316","former teacher store clerk","clerk","NOUN","Profession",428,NA,"FOX"
"32610","doc4318","conservative justice texas rd court appeals turnons classic rock old cars texas bbq seinfeld reruns father facebook judgejeffrose","court","NOUN","Profession",943,NA,"FOX"
"32622","doc4318","conservative justice texas rd court appeals turnons classic rock old cars texas bbq seinfeld reruns father facebook judgejeffrose","facebook","NOUN","Organization",943,NA,"FOX"
"32630","doc432","dad husband dog owner baseball fan anchor reporter spectrum news albany new york story ideas terrystackhousechartercom","baseball","NOUN","Hobbies",2138,"Etats-Unis","FOX"
"32633","doc432","dad husband dog owner baseball fan anchor reporter spectrum news albany new york story ideas terrystackhousechartercom","reporter","NOUN","Profession",2138,"Etats-Unis","FOX"
"32660","doc4322","advocate business man","advocate","ADJ","Profession",1049,NA,"FOX"
"32661","doc4322","advocate business man","business","NOUN","Profession",1049,NA,"FOX"
"32688","doc4326","welcome belong outdoors provide best outdoor related gear internet shop entire collection link","outdoor","ADJ","Profession",1097,NA,"FOX"
"32691","doc4326","welcome belong outdoors provide best outdoor related gear internet shop entire collection link","internet","NOUN","Hobbies",1097,NA,"FOX"
"32697","doc4327","love music ufb","music","NOUN","Hobbies",328,NA,"FOX"
"32707","doc4329","husband father teacher coach blessed","teacher","NOUN","Profession",838,NA,"FOX"
"32708","doc4329","husband father teacher coach blessed","coach","NOUN","Profession",838,NA,"FOX"
"32716","doc4331","musicien entrepreneur peace activist digital world citizen ambassador crypto currency advocat","entrepreneur","PRON","Profession",2698,NA,"FOX"
"32718","doc4331","musicien entrepreneur peace activist digital world citizen ambassador crypto currency advocat","activist","NOUN","Profession",2698,NA,"FOX"
"32740","doc4333","uffauffdedicated exposing truth uffaufffind god find salvation find truthudufefdogs rule uf ufguitarsufbhappily married ufabdm maga kag trump ubufefsee websiteubufef","married","VERB","Personality",589,NA,"FOX"
"32750","doc4334","definitely want talk politics","politics","NOUN","Hobbies",413,NA,"FOX"
"32776","doc4338","former wwe diva entertainer vegetarian heat magic ufc like politicsuf jillianhall ig snap fb bookings jillianhallgmailcom","magic","NOUN","Hobbies",331,NA,"FOX"
"32794","doc4340","william amos hough linebacker coach owner linebacker university proud dad wake forest linebacker chasemonroe girls mattie emma","coach","NOUN","Profession",429,NA,"FOX"
"32797","doc4340","william amos hough linebacker coach owner linebacker university proud dad wake forest linebacker chasemonroe girls mattie emma","university","NOUN","Profession",429,NA,"FOX"
"32798","doc4340","william amos hough linebacker coach owner linebacker university proud dad wake forest linebacker chasemonroe girls mattie emma","proud","ADJ","Personality",429,NA,"FOX"
"32823","doc4342","official ufglazed<U+393C><U+3E39>ufefufbrand owner glazed<U+393C><U+3E39>ufef graphics coming soon pursuing marketing management degree","marketing","NOUN","Profession",426,NA,"FOX"
"32824","doc4342","official ufglazed<U+393C><U+3E39>ufefufbrand owner glazed<U+393C><U+3E39>ufef graphics coming soon pursuing marketing management degree","management","NOUN","Profession",426,NA,"FOX"
"32831","doc4343","son god husband father head baseball coach saint bonaventure hs truthufaufemarx","baseball","NOUN","Hobbies",527,NA,"FOX"
"32832","doc4343","son god husband father head baseball coach saint bonaventure hs truthufaufemarx","coach","NOUN","Profession",527,NA,"FOX"
"32860","doc4345","persian indian food theme nights include arabic international hiphop bollywood kitchen open","food","NOUN","Profession",4948,NA,"FOX"
"32875","doc4346","vol fanatic stl cardinals fan sports junkie conservative friend bill just living life one day time","sports","NOUN","Hobbies",436,"Etats-Unis","FOX"
"32886","doc4347","music rbsoul","music","NOUN","Hobbies",293,NA,"FOX"
"32893","doc4349","ceo adamond engineering co ltd engineer quantity surveyor entrepreneur motivational speaker die hard manchester united fanuf","engineering","VERB","Profession",490,NA,"FOX"
